,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,id,start_time,geometry
135,35.507832,-94.612602,330.22,0.67,0.74,1/3/2020,1813,N,VIIRS,n,1,279.95,4.4,D,0,471,1/3/2020 18:13,POINT (-10532226.67726666 3952713.777413105)
136,29.340525,-95.838463,356.59,0.4,0.44,1/3/2020,1951,N,VIIRS,n,1,296.97,9.74,D,0,474,1/3/2020 19:51,POINT (-10668688.89956999 3266172.302607313)
137,28.701193,-96.52916,336.45,0.54,0.42,1/3/2020,1951,N,VIIRS,n,1,294.53,4.94,D,0,477,1/3/2020 19:51,POINT (-10745576.93790243 3195002.189919468)
138,26.280136,-97.867805,333.91,0.44,0.39,1/3/2020,1951,N,VIIRS,n,1,294.01,7.77,D,0,479,1/3/2020 19:51,POINT (-10894594.21765539 2925491.357497977)
139,28.964579,-99.260452,329.8,0.42,0.38,1/3/2020,1951,N,VIIRS,n,1,296.98,2.22,D,0,485,1/3/2020 19:51,POINT (-11049622.97255017 3224322.185321545)
140,33.073071,-99.014839,326.1,0.46,0.39,1/3/2020,1952,N,VIIRS,n,1,289.89,3.12,D,0,488,1/3/2020 19:52,POINT (-11022281.45845797 3681677.422689783)
141,32.524933,-96.369003,337.26,0.41,0.45,1/3/2020,1952,N,VIIRS,n,1,289.39,3.67,D,0,490,1/3/2020 19:52,POINT (-10727748.34221545 3620658.97964534)
142,31.619848,-101.50116,327.44,0.39,0.36,1/3/2020,1952,N,VIIRS,n,1,291.3,1.56,D,0,493,1/3/2020 19:52,POINT (-11299057.44612659 3519905.378320709)
143,29.957142,-98.734192,330.32,0.44,0.39,1/3/2020,1952,N,VIIRS,n,1,293.15,2.33,D,0,495,1/3/2020 19:52,POINT (-10991039.97732531 3334813.793061789)
144,32.415051,-94.270363,331.01,0.53,0.5,1/3/2020,1952,N,VIIRS,n,1,287.96,3.37,D,0,497,1/3/2020 19:52,POINT (-10494128.80605706 3608426.971357993)
145,32.465233,-101.710884,344.3,0.39,0.36,1/3/2020,1952,N,VIIRS,n,1,298.12,7.64,D,0,499,1/3/2020 19:52,POINT (-11322403.81501372 3614013.206044982)
